K12D0705=D0900_D0706_H0668:28b-0	@28b rgya gar skad du /	rgya_5 gar_10 skad_14 du_19 
K12D0705=D0900_D0706_H0668:29a-0	@29a *// a'arya'a ba lo ki te shva ra sya n'a ma aashta sha ta kam//	a'a_9 ba_18 lo_21 ki_24 te_27 shva_30 ra_35 sya_38 n_42 ma_46 aashta_49 sha_56 ta_60 
K12D0705=D0900_D0706_H0668:29a-1	bod skad du /	'bod_0 skad_4 du_9 
K12D0705=D0900_D0706_H0668:29a-2	'phags pa spyan ras gzigs dbang phyug mtshan brgya rtsa brgyad pa /	'phag_0 ba_7 spyan_10 ras_16 gzigs_20 dbang_26 phyug_32 mtshan_38 brgya_45 rtsa_51 brgyad_56 ba_63 
K12D0705=D0900_D0706_H0668:29a-3	sangs rgyas dang /	sangs_0 rgya_6 dang_12 
K12D0705=D0900_D0706_H0668:29a-4	byang chub sems dpa' thams cad la phyag 'tshal lo //	byang_0 chub_6 sems_11 dpa'_16 thams_21 cad_27 la_31 phyag_34 'tshal_40 lo_47 
K12D0705=D0900_D0706_H0668:29a-5	'di skad bdag gis thos pa dus gcig na /	'di_0 skad_4 bdag_9 gis_14 thos_18 ba_23 dus_26 gcig_30 na_35 
K12D0705=D0900_D0706_H0668:29a-6	bcom ldan 'das 'phags pa spyan ras gzigs dbang phyug	'joms_0 ldan_5 'da'_10 'phag_15 ba_22 spyan_25 ras_31 gzigs_35 dbang_41 phyug_47 
K12D0705=D0900_D0706_H0668:29a-7	gi pho brang ri po ta la'i rtse mo na	gi_0 pho_3 brang_7 ri_13 po_16 ta_19 la_22 rtse_27 mo_32 na_35 
K12D0705=D0900_D0706_H0668:29a-8	me tog dri zhim po sna tshogs kyis brgyan pa	me_0 tog_3 'dri_7 zhim_11 po_16 sna_19 tshogs_23 kyis_30 rgyan_35 ba_42 
K12D0705=D0900_D0706_H0668:29a-9	/ dzambu n'a da'i gser gyi kha dog dang 'dra ba /	dzambu_2 n_9 da_13 gser_18 gyi_23 kha_27 dog_31 dang_35 'dra_40 ba_45 
K12D0705=D0900_D0706_H0668:29a-10	rin po che sna tshogs kun tu 'bar ba'i sa phyogs na bzhugs te /	rin_0 po_4 che_7 sna_11 tshogs_15 kun_22 tu_26 'bar_29 ba_34 sa_39 phyogs_42 na_49 bzhugs_52 te_59 
K12D0705=D0900_D0706_H0668:29a-11	lha dang /	lha_0 dang_4 
K12D0705=D0900_D0706_H0668:29a-12	klu dang /	klu_0 dang_4 
K12D0705=D0900_D0706_H0668:29a-13	gnod sbyin dang /	gnod_0 sbyin_5 dang_11 
K12D0705=D0900_D0706_H0668:29a-14	dri za dang /	'dri_0 za_4 dang_7 
K12D0705=D0900_D0706_H0668:29a-15	lha ma yin dang /	lha_0 ma_4 yin_7 dang_11 
K12D0705=D0900_D0706_H0668:29a-16	nam mkha' lding dang /	nam_0 mkha'_4 lding_10 dang_16 
K12D0705=D0900_D0706_H0668:29a-17	mi'am ci dang /	mi_0 ci_6 dang_9 
K12D0705=D0900_D0706_H0668:29a-18	lto 'phye chen po dang /	lto_0 'phye_4 chen_10 po_15 dang_18 
K12D0705=D0900_D0706_H0668:29a-19	brgya byin dang /	brgya_0 byin_6 dang_11 
K12D0705=D0900_D0706_H0668:29a-20	tshangs pa dang /	tshangs_0 ba_8 dang_11 
K12D0705=D0900_D0706_H0668:29a-21	'jig rten skyong ba dang /	'jig_0 rten_5 skyong_10 ba_17 dang_20 
K12D0705=D0900_D0706_H0668:29a-22	mi dang /	mi_0 dang_3 
K12D0705=D0900_D0706_H0668:29a-23	mi ma yin pa bye ba khrag khrig brgya stong	mi_0 ma_3 yin_6 ba_10 'bye_13 ba_17 khrag_20 khrig_26 brgya_32 stong_38 
K12D0705=D0900_D0706_H0668:29a-24	du mas bcom ldan 'das la bsti stang du byas	du_0 mas_3 'joms_7 ldan_12 'da'_17 la_22 sti_25 stang_30 du_36 byed_39 
K12D0705=D0900_D0706_H0668:29a-25	/ bla mar byas /	bla_2 mar_6 byed_10 
K12D0705=D0900_D0706_H0668:29a-26	rim gror byas /	rim_0 gror_4 byed_9 
K12D0705=D0900_D0706_H0668:29a-27	mchod cing bkur stir byas te yongs su bskor nas mdun du byas pa la chos ston te /	mchod_0 cing_6 bkur_11 stir_16 byed_21 te_26 yongs_29 su_35 skor_38 nas_44 mdun_48 du_53 byed_56 ba_61 la_64 chos_67 ston_72 te_77 
K12D0705=D0900_D0706_H0668:29a-28	thog mar dge ba /	thogs_0 mar_5 dge_9 ba_13 
K12D0705=D0900_D0706_H0668:29a-29	bar du dge ba /	ba_0 du_4 dge_7 ba_11 
K12D0705=D0900_D0706_H0668:29a-30	tha mar dge ba /	tha_0 mar_4 dge_8 ba_12 
K12D0705=D0900_D0706_H0668:29a-31	don bzang po /	don_0 bzang_4 po_10 
K12D0705=D0900_D0706_H0668:29a-32	tshig 'bru bzang po /	tshig_0 'bru_6 bzang_11 po_17 
K12D0705=D0900_D0706_H0668:29a-33	ma 'dres pa /	ma_0 'dre_3 ba_9 
K12D0705=D0900_D0706_H0668:29a-34	yongs su byang ba /	yongs_0 su_6 byang_9 ba_15 
K12D0705=D0900_D0706_H0668:29a-35	yongs su dag pa /	yongs_0 su_6 'dag_9 ba_13 
K12D0705=D0900_D0706_H0668:29a-36	yongs su rdzogs pa /	yongs_0 su_6 rdzogs_9 ba_16 
K12D0705=D0900_D0706_H0668:29b-0	@29b yongs su gsal ba /	yongs_5 su_11 gsal_14 ba_19 
K12D0705=D0900_D0706_H0668:29b-1	tshangs par spyod pa 'ba' zhig yang dag par rab tu ston to //	tshangs_0 ba_8 spyod_12 ba_18 'ba'_21 'jig_26 yang_31 'dag_36 ba_40 rab_44 tu_48 ston_51 to_56 
K12D0705=D0900_D0706_H0668:29b-2	de nas tshangs pa la sogs pas byang chub sems	de_0 nas_3 tshangs_7 ba_15 la_18 sogs_21 ba_26 byang_30 chub_36 sems_41 
K12D0705=D0900_D0706_H0668:29b-3	dpa' sems dpa' chen po 'phags pa spyan ras gzigs	dpa'_0 sems_5 dpa'_10 chen_15 po_20 'phag_23 ba_30 spyan_33 ras_39 gzigs_43 
K12D0705=D0900_D0706_H0668:29b-4	dbang phyug la bstod pa /	dbang_0 phyug_6 la_12 bstod_15 ba_21 
K12D0705=D0900_D0706_H0668:29b-5	kye bcom ldan 'das /	kye_0 'joms_4 ldan_9 'da'_14 
K12D0705=D0900_D0706_H0668:29b-6	bya ba byas shing byed la mkhas //	byed_0 ba_4 byed_7 shing_12 byed_18 la_23 mkhas_26 
K12D0705=D0900_D0706_H0668:29b-7	khur bor bdag don rjes su brnyes //	'khur_0 'bor_5 bdag_9 don_14 rjes_18 su_23 brnyes_26 
K12D0705=D0900_D0706_H0668:29b-8	srid par sbyor ba yongs su zad //	srid_0 ba_5 sbyor_9 ba_15 yongs_18 su_24 zad_27 
K12D0705=D0900_D0706_H0668:29b-9	yang dag bka' la rnam grol sems /	yang_0 'dag_5 bka'_9 la_14 rnam_17 grol_22 sems_27 
K12D0705=D0900_D0706_H0668:29b-10	shes rab shin tu rnam par grol //	shes_0 rab_5 shin_9 tu_14 rnam_17 ba_22 grol_26 
K12D0705=D0900_D0706_H0668:29b-11	klu chen po na cing shes po //	klu_0 chen_4 po_9 na_12 cing_15 shes_20 po_25 
K12D0705=D0900_D0706_H0668:29b-12	sems la dbang ba sgyur thams cad kyi //	sems_0 la_5 dbang_8 ba_14 sgyur_17 thams_23 cad_29 kyi_33 
K12D0705=D0900_D0706_H0668:29b-13	mchog tu pha rol phyin pa thob //	mchog_0 tu_6 pha_9 rol_13 phyin_17 ba_23 'thob_26 
K12D0705=D0900_D0706_H0668:29b-14	ye shes tshogs ni yongs su rdzogs //	ye_0 shes_3 tshogs_8 ni_15 yongs_18 su_24 rdzogs_27 
K12D0705=D0900_D0706_H0668:29b-15	srid pa'i dgon pa rab tu brgal /	srid_0 ba_5 dgon_10 ba_15 rab_18 tu_22 rgol_25 
K12D0705=D0900_D0706_H0668:29b-16	gzhan la phan pa mdzad la brtson //	gzhan_0 la_6 phan_9 ba_14 mdzad_17 la_23 brtson_26 
K12D0705=D0900_D0706_H0668:29b-17	thugs rje dang ni 'brel ba'i thugs //	thugs_0 rje_6 dang_10 ni_15 'brel_18 ba_24 thugs_29 
K12D0705=D0900_D0706_H0668:29b-18	skye rgu kun la mchog tu byams //	skye_0 rgu_5 kun_9 la_13 mchog_16 tu_22 byams_25 
K12D0705=D0900_D0706_H0668:29b-19	bde bar brtson pa byams las byung //	bde_0 ba_4 brtson_8 ba_15 byams_18 las_24 'byung_28 
K12D0705=D0900_D0706_H0668:29b-20	mtha' yas sems can grol la mkhas //	mtha'_0 yas_6 sems_10 can_15 grol_19 la_24 mkhas_27 
K12D0705=D0900_D0706_H0668:29b-21	bde bar gshegs pa nyid las skyes; ;bde bar gshegs pa nyid kyi bka'//	bde_0 ba_4 gshegs_8 ba_15 nyid_18 las_23 skyes;_27 ;bde_34 ba_39 gshegs_43 ba_50 nyid_53 kyi_58 
K12D0705=D0900_D0706_H0668:29b-22	khams gsum kun gyi gnyen gcig pu //	khams_0 gsum_6 kun_11 gyi_15 gnyen_19 gcig_25 pu_30 
K12D0705=D0900_D0706_H0668:29b-23	'dod chags zhe sdang gti mug med //	'dod_0 chags_5 zhe_11 sdang_15 gti_21 mug_25 med_29 
K12D0705=D0900_D0706_H0668:29b-24	dri ma gsum ni rab tu spangs //	'dri_0 ma_4 gsum_7 ni_12 rab_15 tu_19 spong_22 
K12D0705=D0900_D0706_H0668:29b-25	rig pa gsum gyi pha rol phyin //	rig_0 ba_4 gsum_7 gyi_12 pha_16 rol_20 phyin_24 
K12D0705=D0900_D0706_H0668:29b-26	mngon par shes pa drug kyang brnyes //	mngon_0 ba_6 shes_10 ba_15 drug_18 kyang_23 brnyes_29 
K12D0705=D0900_D0706_H0668:29b-27	n+ya gro dha ni lta bur zlum //	n_0 ya_2 gro_5 dha_9 ni_13 lta_16 bur_20 zlum_24 
K12D0705=D0900_D0706_H0668:29b-28	skyes bu chen po'i mtshan rnams ni //	skye_0 bu_6 chen_9 po_14 mtshan_19 rnams_26 ni_32 
K12D0705=D0900_D0706_H0668:30a-0	sum cu rtsa gnyis dag dang @30a *//	sum_0 cu_4 rtsa_7 gnyis_12 'dag_18 dang_22 
K12D0705=D0900_D0706_H0668:30a-1	ldan; ;dpe byad bzang po brgyad cus kyang //	ldan;_0 ;dpe_6 byad_11 bzang_16 po_22 brgyad_25 cus_32 kyang_36 
K12D0705=D0900_D0706_H0668:30a-2	sku ni rnam pa kun tu brgyan //	sku_0 ni_4 rnam_7 ba_12 kun_15 tu_19 rgyan_22 
K12D0705=D0900_D0706_H0668:30a-3	sku mdog gser gyi kha dog 'dra //	sku_0 mdog_4 gser_9 gyi_14 kha_18 dog_22 'dra_26 
K12D0705=D0900_D0706_H0668:30a-4	sku tshad che la dkar sham po //	sku_0 tshad_4 che_10 la_14 dkar_17 sham_22 po_27 
K12D0705=D0900_D0706_H0668:30a-5	n'a ga ge sar gzhon nu ltar //	n_0 ga_4 ge_7 sar_10 gzhon_14 nu_20 ltar_23 
K12D0705=D0900_D0706_H0668:30a-6	cung zad dmar ba 'dra ba'i mdog /	cung_0 zad_5 dmar_9 ba_14 'dra_17 ba_22 mdog_27 
K12D0705=D0900_D0706_H0668:30a-7	dbu yi thor tshugs dag dang ldan //	dbu_0 yi_4 'thor_7 tshugs_12 'dag_19 dang_23 ldan_28 
K12D0705=D0900_D0706_H0668:30a-8	thor tshugs mang pos nye bar g-yogs //	'thor_0 tshugs_5 mang_12 pos_17 nye_21 ba_25 g-yogs_29 
K12D0705=D0900_D0706_H0668:30a-9	dbu la 'od dpag med pa bzhugs //	dbu_0 la_4 'od_7 dpog_11 med_16 ba_20 bzhugs_23 
K12D0705=D0900_D0706_H0668:30a-10	'od zer dag ni rnam par 'phro //	'od_0 zer_4 'dag_8 ni_12 rnam_15 ba_20 'phro_24 
K12D0705=D0900_D0706_H0668:30a-11	'od 'phro 'dom gang rab tu 'bar //	'od_0 'phro_4 'dom_10 gang_15 rab_20 tu_24 'bar_27 
K12D0705=D0900_D0706_H0668:30a-12	gser gyi ri 'dra grags pas khyab //	gser_0 gyi_5 ri_9 'dra_12 grags_17 ba_23 khyab_27 
K12D0705=D0900_D0706_H0668:30a-13	gzi brjid dag kyang rab tu che //	gzi_0 brjid_4 'dag_10 kyang_14 rab_20 tu_24 che_27 
K12D0705=D0900_D0706_H0668:30a-14	shar gyi ri la 'char ba yi //	'char_0 gyi_5 ri_9 la_12 'char_15 ba_21 yi_24 
K12D0705=D0900_D0706_H0668:30a-15	nyi ma'i gtsug tor dag dang ldan //	nyi_0 ma_4 gtsug_9 tor_15 'dag_19 dang_23 ldan_28 
K12D0705=D0900_D0706_H0668:30a-16	nor bu rin chen 'bar ba yi //	nor_0 bu_4 rin_7 chen_11 'bar_16 ba_21 yi_24 
K12D0705=D0900_D0706_H0668:30a-17	se ral khas ni sku phyed brgyan //	se_0 ral_3 khas_7 ni_12 sku_15 phyed_19 rgyan_25 
K12D0705=D0900_D0706_H0668:30a-18	sa dag la ni rab tu mkhas //	sa_0 'dag_3 la_7 ni_10 rab_13 tu_17 mkhas_20 
K12D0705=D0900_D0706_H0668:30a-19	pha rol phyin pa bcu rnams spyod //	pha_0 rol_4 phyin_8 ba_14 'chu_17 rnams_21 spyod_27 
K12D0705=D0900_D0706_H0668:30a-20	tshul khrims ma nyams ral pa med; ;thong ga seng+ge mchong ba 'dra //	tshul_0 khrims_6 ma_13 nyams_16 ral_22 ba_26 med;_29 ;thong_34 ga_41 seng_44 ge_49 mchong_52 ba_59 'dra_62 
K12D0705=D0900_D0706_H0668:30a-21	sku ni 'jam zhing ldem bag can //	sku_0 ni_4 'jam_7 zhing_12 ldem_18 bag_23 can_27 
K12D0705=D0900_D0706_H0668:30a-22	gzigs shing gshegs pa khyu mchog 'dra /	gzigs_0 shing_6 gshegs_12 ba_19 khyu_22 mchog_27 'dra_33 
K12D0705=D0900_D0706_H0668:30a-23	g-yas su 'khyil ba'i dung yang 'dra //	g-yas_0 su_6 'khyil_9 ba_16 dung_21 yang_26 'dra_31 
K12D0705=D0900_D0706_H0668:30a-24	dpral ba zla ba kham pa 'dra //	dpral_0 ba_6 zla_9 ba_13 kham_16 ba_21 'dra_24 
K12D0705=D0900_D0706_H0668:30a-25	dpral ba'i dbyibs kyi rgya yang che //	dpral_0 ba_6 dbyibs_11 kyi_18 rgya_22 yang_27 che_32 
K12D0705=D0900_D0706_H0668:30a-26	smin mtshams bar yang yong ma chad //	smin_0 mtshams_5 ba_13 yang_17 yong_22 ma_27 'chad_30 
K12D0705=D0900_D0706_H0668:30a-27	spyan ni nor bu rin chen 'bar //	spyan_0 ni_6 nor_9 bu_13 rin_16 chen_20 'bar_25 
K12D0705=D0900_D0706_H0668:30a-28	shangs kyi dbyibs ni cung zad mtho //	shangs_0 kyi_7 dbyibs_11 ni_18 cung_21 zad_26 mtho_30 
K12D0705=D0900_D0706_H0668:30a-29	tshems kyi sgros kyis rnam par gnon; ;ljags kyis stong gsum khebs mdzad cing //	tshems_0 kyi_7 sgros_11 kyis_17 rnam_22 ba_27 gnon;_31 ;ljags_37 kyis_44 stong_49 gsum_55 khebs_60 mdzad_66 cing_72 
K12D0705=D0900_D0706_H0668:30a-30	snyan gyi khrung yang rab tu zab //	snyan_0 gyi_6 khrung_10 yang_17 rab_22 tu_26 zab_29 
